PassengerId,Pclass,Sex,Age,SibSp,ParCh,Ticket,Fare,Cabin,Embarked
300,3,2,3,1,1,0,2,1,3
301,3,1,5,3,1,0,2,1,3
302,3,1,4,1,1,0,2,1,1
303,2,2,4,1,1,0,2,1,3
304,3,1,5,1,1,0,2,1,1
305,1,1,1,2,2,0,6,1,1
306,1,2,5,1,1,0,5,1,2
307,1,2,3,2,1,1,5,1,2
308,2,1,5,2,1,0,2,1,2
309,1,2,5,1,1,1,4,1,2
310,1,2,4,1,1,0,4,1,2
311,1,2,3,3,2,1,6,1,2
312,2,2,5,2,2,0,3,1,1
313,3,1,5,1,1,0,2,1,1
314,2,1,6,2,2,0,3,1,1
315,3,2,5,1,1,0,2,1,1
316,2,2,4,2,1,0,3,1,1
317,2,1,7,1,1,0,2,1,1
318,1,2,5,1,2,0,6,1,1
319,1,2,6,2,2,0,6,1,2
320,3,1,4,1,1,0,2,1,1
321,3,1,5,1,1,0,2,1,1
322,2,2,5,1,1,0,2,1,3
323,2,2,4,2,2,0,3,1,1
324,3,1,5,3,2,0,4,1,1
325,1,2,6,1,1,1,6,1,2
326,3,1,7,1,1,0,2,1,1
327,2,2,6,1,1,0,2,1,1
328,3,2,5,2,2,0,2,1,1
329,1,2,3,1,2,0,4,1,2
330,3,2,3,3,1,0,2,1,3
331,1,1,6,1,1,0,3,1,1
332,1,1,6,1,2,1,6,1,1
333,3,1,3,3,1,0,2,1,1
334,1,2,6,2,1,1,6,1,1
335,3,1,5,1,1,0,2,1,1
336,1,1,5,2,1,0,4,1,1
337,1,2,6,1,1,0,6,1,2
338,3,1,6,1,1,0,2,1,1
339,1,1,6,1,1,0,3,1,1
340,2,1,1,2,2,0,3,1,1
341,1,2,4,3,2,0,6,1,1
342,2,1,5,1,1,0,2,1,1
343,2,1,4,1,1,0,2,1,1
344,2,1,6,1,1,0,2,1,1
345,2,2,4,1,1,0,2,1,1
346,2,2,6,1,1,0,2,1,1
347,3,2,5,2,1,0,2,1,1
348,3,1,1,2,2,0,2,1,1
349,3,1,6,1,1,0,2,1,1
350,3,1,4,1,1,0,2,1,1
351,1,1,6,1,1,0,3,1,1
352,3,1,3,2,2,0,2,1,2
353,3,1,4,2,1,0,2,1,1
354,3,1,5,1,1,0,2,1,2
355,3,1,5,1,1,0,2,1,1
356,1,2,4,1,2,0,3,1,1
357,2,2,6,1,1,0,2,1,1
358,3,2,3,1,1,0,2,1,3
359,3,2,3,1,1,0,2,1,3
360,3,1,6,2,2,0,3,1,1
361,2,1,5,2,1,0,3,1,2
362,3,2,6,1,2,0,2,1,2
363,3,1,5,1,1,0,2,1,1
364,3,1,5,2,1,0,2,1,3
365,3,1,5,1,1,0,2,1,1
366,1,2,7,2,1,0,4,1,2
367,3,2,5,1,1,0,2,1,2
368,3,2,3,1,1,0,2,1,3
369,1,2,4,1,1,1,4,1,2
370,1,1,4,2,1,0,4,1,2
371,3,1,3,2,1,0,2,1,1
372,3,1,4,1,1,0,2,1,1
373,1,1,4,1,1,1,6,1,2
374,3,2,1,3,2,0,2,1,1
375,1,2,6,2,1,1,4,1,2
376,3,2,4,1,1,0,2,1,1
377,1,1,5,1,2,0,6,1,2
378,3,1,4,1,1,0,2,1,2
379,3,1,4,1,1,0,2,1,1
380,1,2,6,1,1,1,6,1,2
381,3,2,1,1,2,0,2,1,2
382,3,1,5,1,1,0,2,1,1
383,1,2,5,2,1,0,3,1,1
384,3,1,5,1,1,0,2,1,1
385,2,1,3,1,1,0,4,1,1
386,3,1,1,3,2,0,3,1,1
387,2,2,6,1,1,0,2,1,1
388,3,1,5,1,1,0,2,1,3
389,2,2,3,1,1,0,2,1,2
390,1,1,6,2,2,0,5,1,1
391,3,1,4,1,1,0,2,1,1
392,3,1,5,3,1,0,2,1,1
393,1,2,4,2,1,0,5,1,2
394,3,2,4,1,2,0,2,1,1
395,3,1,4,1,1,0,2,1,1
396,3,2,5,1,1,0,2,1,1
397,2,1,6,1,1,0,3,1,1
398,2,1,4,1,1,0,2,1,1
399,2,2,5,1,1,0,2,1,1
400,3,1,6,1,1,0,2,1,1
401,3,1,5,1,1,0,2,1,1
402,3,2,4,2,1,0,2,1,1
403,3,1,5,2,1,0,2,1,1
404,3,2,4,1,1,0,2,1,1
405,2,1,5,2,1,0,2,1,1
406,3,1,7,1,1,0,2,1,1
407,2,1,1,2,2,0,2,1,1
408,3,1,4,1,1,0,2,1,1
409,3,2,3,3,2,0,3,1,1
410,3,1,5,1,1,0,2,1,1
411,3,1,5,1,1,0,2,1,3
412,1,2,5,2,1,0,5,1,3
413,2,1,5,1,1,0,2,1,1
414,3,1,6,1,1,0,2,1,1
415,3,2,5,1,1,0,2,1,1
416,2,2,5,2,2,0,3,1,1
417,2,2,3,1,2,0,2,1,1
418,2,1,5,1,1,0,2,1,1
419,3,2,2,1,2,0,2,1,1
420,3,1,5,1,1,0,2,1,2
421,3,1,4,1,1,0,2,1,3
422,3,1,5,1,1,0,2,1,1
423,3,2,5,2,2,0,2,1,1
424,3,1,3,2,2,0,2,1,1
425,3,1,5,1,1,0,2,1,1
426,2,2,5,2,1,0,3,1,1
427,2,2,4,1,1,0,3,1,1
428,3,1,5,1,1,0,2,1,3
429,3,1,5,1,1,0,2,1,1
430,1,1,5,1,1,0,3,1,1
431,3,2,5,2,1,0,2,1,1
432,2,2,6,2,1,0,3,1,1
433,3,1,3,1,1,0,2,1,1
434,1,1,6,2,1,0,4,1,1
435,1,2,3,2,2,0,5,1,1
436,3,2,4,3,2,0,3,1,1
437,2,2,4,3,2,0,2,1,1
438,1,1,7,2,2,0,6,1,1
439,2,1,5,1,1,0,2,1,1
440,2,2,6,2,2,0,3,1,1
441,3,1,4,1,1,0,2,1,1
442,3,1,4,2,1,0,2,1,1
443,2,2,5,1,1,0,2,1,1
444,3,1,5,1,1,0,2,1,1
445,1,1,1,1,2,0,4,1,1
446,2,2,2,1,2,0,2,1,1
447,1,1,5,1,1,0,3,1,1
448,3,2,1,3,2,0,2,1,2
449,1,1,7,1,1,0,3,1,1
450,2,1,6,2,2,0,3,1,1
451,3,1,5,2,1,0,2,1,1
452,1,1,5,1,1,0,3,1,2
453,1,1,6,2,1,0,5,1,2
454,3,1,5,1,1,0,2,1,1
455,3,1,5,1,1,0,2,1,2
456,1,1,7,1,1,0,3,1,1
457,1,2,6,2,1,0,3,1,1
458,2,2,6,1,1,0,2,1,1
459,3,1,5,1,1,0,2,1,3
460,1,1,6,1,1,0,3,1,1
461,3,1,5,1,1,0,2,1,1
462,1,1,6,1,1,0,3,1,1
463,2,1,6,1,1,0,2,1,1
464,3,1,5,1,1,0,2,1,1
465,3,1,6,1,1,0,2,1,1
466,2,1,5,1,1,0,2,1,1
467,1,1,7,1,1,0,3,1,1
468,3,1,5,1,1,0,2,1,3
469,3,2,1,3,2,0,2,1,2
470,3,1,5,1,1,0,2,1,1
471,3,1,6,1,1,0,2,1,1
472,2,2,5,2,2,0,3,1,1
473,2,2,4,1,1,0,2,1,2
474,3,2,4,1,1,0,2,1,1
475,1,1,6,1,1,0,3,1,1
476,2,1,5,2,1,0,2,1,1
477,3,1,5,2,1,0,2,1,1
478,3,1,4,1,1,0,2,1,1
479,3,2,1,1,2,0,2,1,1
480,3,1,2,3,2,0,3,1,1
481,2,1,5,1,1,0,2,1,1
482,3,1,6,1,1,0,2,1,1
483,3,2,7,1,1,0,2,1,1
484,1,1,4,2,1,0,5,1,2
485,3,2,3,3,2,0,3,1,1
486,1,2,5,2,1,0,5,1,1
487,1,1,7,1,1,0,3,1,2
488,3,1,5,1,1,0,2,1,1
489,3,1,2,2,2,0,2,1,1
490,3,1,5,2,1,0,2,1,1
491,3,1,4,1,1,0,2,1,1
492,1,1,7,1,1,0,3,1,1
493,1,1,8,1,1,1,3,1,2
494,3,1,4,1,1,0,2,1,1
495,3,1,5,1,1,0,2,1,2
496,1,2,7,2,1,0,4,1,2
497,3,1,5,1,1,0,2,1,1
498,1,2,4,2,2,0,6,1,1
499,3,1,4,1,1,0,2,1,1
500,3,1,3,1,1,0,2,1,1
501,3,2,4,1,1,0,2,1,3
502,3,2,3,1,1,0,2,1,3
503,3,2,6,1,1,0,2,1,1
504,1,2,3,1,1,0,5,1,1
505,1,1,3,2,1,1,5,1,2
506,2,2,5,1,2,0,3,1,1
507,1,1,6,1,1,0,3,1,1
508,3,1,5,1,1,0,2,1,1
509,3,1,5,1,1,0,4,1,1
510,3,1,5,1,1,0,2,1,3
511,3,1,5,1,1,0,2,1,1
512,1,1,6,1,1,1,3,1,1
513,1,2,7,2,1,1,4,1,2
514,3,1,4,1,1,0,2,1,1
515,1,1,6,1,1,0,3,1,1
516,2,2,5,1,1,0,2,1,1
517,3,1,5,1,1,0,2,1,3
518,2,2,6,2,1,0,3,1,1
519,3,1,5,1,1,0,2,1,1
520,1,2,5,1,1,0,5,1,1
521,3,1,4,1,1,0,2,1,1
522,3,1,5,1,1,0,2,1,2
523,1,2,6,1,2,0,4,1,2
524,3,1,5,1,1,0,2,1,2
525,3,1,6,1,1,0,2,1,3
526,2,2,6,1,1,0,2,1,1
527,1,1,6,1,1,1,6,1,1
528,3,1,6,1,1,0,2,1,1
529,2,1,4,3,2,0,2,1,1
530,2,2,1,2,2,0,3,1,1
531,3,1,5,1,1,0,2,1,2
532,3,1,3,2,2,0,2,1,2
533,3,2,5,1,2,0,2,1,2
534,3,2,5,1,1,0,2,1,1
535,2,2,2,1,2,0,3,1,1
536,1,1,6,1,1,0,3,1,1
537,1,2,5,1,1,1,5,1,2
538,3,1,5,1,1,0,2,1,1
539,1,2,4,1,2,0,3,1,2
540,1,2,6,1,2,0,4,1,1
541,3,2,2,3,2,0,3,1,1
542,3,2,2,3,2,0,3,1,1
543,2,1,5,2,1,0,3,1,1
544,1,1,6,2,1,1,5,1,2
545,1,1,7,1,1,0,3,1,1
546,2,2,4,2,1,0,3,1,1
547,2,1,5,1,1,0,2,1,2
548,3,1,5,2,2,0,2,1,1
549,2,1,2,2,2,0,3,1,1
550,1,1,3,1,2,0,5,1,2
551,2,1,5,1,1,0,3,1,1
552,3,1,5,1,1,0,2,1,3
553,3,1,4,1,1,0,2,1,2
554,3,2,4,1,1,0,2,1,1
555,1,1,7,1,1,0,3,1,1
556,1,2,6,2,1,0,3,1,2
557,1,1,6,1,1,1,6,1,2
558,1,2,6,2,2,0,4,1,1
559,3,2,6,2,1,0,2,1,1
560,3,1,5,1,1,0,2,1,3
561,3,1,6,1,1,0,2,1,1
562,2,1,5,1,1,0,2,1,1
563,3,1,5,1,1,0,2,1,1
564,3,2,3,1,1,0,2,1,1
565,3,1,4,3,1,0,2,1,1
566,3,1,4,1,1,0,2,1,1
567,3,2,5,1,2,0,2,1,1
568,3,1,5,1,1,0,2,1,2
569,3,1,5,1,1,0,2,1,1
570,2,1,7,1,1,0,2,1,1
571,1,2,7,3,1,0,3,1,1
572,1,1,6,1,1,1,3,1,1
573,3,2,3,1,1,0,2,1,3
574,3,1,3,1,1,0,2,1,1
575,3,1,4,1,1,0,2,1,1
576,2,2,5,1,1,0,2,1,1
577,1,2,6,2,1,0,4,1,1
578,3,2,5,2,1,0,2,1,2
579,3,1,5,1,1,0,2,1,1
580,2,2,4,2,2,0,3,1,1
581,1,2,6,2,2,0,5,1,2
582,2,1,7,1,1,0,3,1,1
583,1,1,6,1,1,0,3,1,2
584,3,1,5,1,1,0,2,1,2
585,1,2,3,1,2,0,4,1,1
586,2,1,6,1,1,0,2,1,1
587,1,1,7,2,2,0,4,1,2
588,3,1,4,1,1,0,2,1,1
589,3,1,5,1,1,0,2,1,1
590,3,1,5,1,1,0,2,1,1
591,1,2,7,2,1,0,4,1,2
592,3,1,6,1,1,0,2,1,1
593,3,2,3,1,2,0,2,1,3
594,2,1,6,2,1,0,3,1,1
595,3,1,6,2,2,0,2,1,1
596,2,2,4,1,1,0,3,1,1
597,3,1,6,1,1,0,2,1,1
598,3,1,5,1,1,0,2,1,2
599,1,1,6,2,1,1,4,1,2
600,2,2,4,3,2,0,3,1,1
601,3,1,5,1,1,0,2,1,1
602,1,1,6,1,1,0,3,1,1
603,3,1,6,1,1,0,2,1,1
604,1,1,5,1,1,0,3,1,2
605,3,1,6,2,1,0,2,1,1
606,3,1,5,1,1,0,2,1,1
607,1,1,5,1,1,0,3,1,1
608,2,2,4,2,2,0,3,1,2
609,1,2,6,1,1,1,6,1,1
610,3,2,6,2,2,0,3,1,1
611,3,1,5,1,1,0,2,1,1
612,3,2,3,2,1,0,2,1,3
613,3,1,5,1,1,0,2,1,3
614,3,1,5,1,1,0,2,1,1
615,2,2,4,2,2,0,4,1,1
616,3,1,5,2,2,0,2,1,1
617,3,2,5,2,1,0,2,1,1
618,2,2,1,3,2,0,3,1,1
619,2,1,5,1,1,0,2,1,1
620,3,1,5,2,1,0,2,1,2
621,1,1,6,2,1,0,3,1,1
622,3,1,4,2,2,0,2,1,2
623,3,1,4,1,1,0,2,1,1
624,3,1,4,1,1,0,2,1,1
625,1,1,7,1,1,0,3,1,1
626,2,1,7,1,1,0,2,1,3
627,1,2,4,1,1,0,4,1,1
628,3,1,5,1,1,0,2,1,1
629,3,1,5,1,1,0,2,1,3
630,1,1,8,1,1,0,3,1,1
631,3,1,7,1,1,0,2,1,1
632,1,1,5,1,1,0,3,1,2
633,1,1,6,1,1,0,2,1,1
634,3,2,2,3,2,0,3,1,1
635,2,2,5,1,1,0,2,1,1
636,3,1,5,1,1,0,2,1,1
637,2,1,5,2,2,0,3,1,1
638,3,2,6,1,2,0,3,1,1
639,3,1,5,2,1,0,2,1,1
640,3,1,4,1,1,0,2,1,1
641,1,2,4,1,1,1,4,1,2
642,3,2,1,3,2,0,3,1,1
643,3,1,5,1,1,0,4,1,1
644,3,2,1,3,2,0,2,1,2
645,1,1,6,2,1,1,4,1,2
646,3,1,4,1,1,0,2,1,1
647,1,1,7,1,1,0,3,1,2
648,3,1,5,1,1,0,2,1,1
649,3,2,4,1,1,0,2,1,1
650,3,1,5,1,1,0,2,1,1
651,2,2,3,1,2,0,2,1,1
652,3,1,4,1,1,0,2,1,1
653,3,2,3,1,1,0,2,1,3
654,3,2,3,1,1,0,2,1,3
655,2,1,4,3,1,0,4,1,1
656,3,1,5,1,1,0,2,1,1
657,3,2,5,2,2,0,2,1,3
658,2,1,4,1,1,0,2,1,1
659,1,1,7,1,2,0,5,1,2
660,1,1,6,3,1,1,6,1,1
661,3,1,6,1,1,0,2,1,2
662,1,1,6,1,1,0,3,1,1
663,3,1,6,1,1,0,2,1,1
664,3,1,4,2,1,0,2,1,1
665,2,1,5,3,1,0,4,1,1
666,2,1,4,1,1,0,2,1,1
667,3,1,5,1,1,0,2,1,1
668,3,1,6,1,1,0,2,1,1
669,1,2,6,2,1,0,3,1,1
670,2,2,6,2,2,0,3,1,1
671,1,1,5,2,1,0,3,1,1
672,2,1,8,1,1,0,2,1,1
673,2,1,5,1,1,0,2,1,1
674,2,1,5,1,1,0,2,1,1
675,3,1,3,1,1,0,2,1,1
676,3,1,4,1,1,0,2,1,1
677,3,2,3,1,1,0,2,1,1
678,3,2,6,2,2,0,3,1,1
679,1,1,6,1,2,1,6,1,2
680,3,2,3,1,1,0,2,1,3
681,1,1,5,1,1,1,4,1,2
682,3,1,4,1,1,0,2,1,1
683,3,1,3,3,2,0,3,1,1
684,2,1,7,2,2,0,3,1,1
685,2,1,4,2,2,0,3,1,2
686,3,1,3,3,2,0,3,1,1
687,3,1,4,1,1,0,2,1,1
688,3,1,3,1,1,0,2,1,1
689,1,2,3,1,2,0,6,1,1
690,1,1,5,2,1,0,4,1,1
691,3,2,1,1,2,0,2,1,2
692,3,1,5,1,1,0,4,1,1
693,3,1,4,1,1,0,2,1,2
694,1,1,7,1,1,0,3,1,1
